sample_name	PC1	PC2	module
MLL_11114	-2.941922846291884	-4.278283632614679	Mod0 (grey)
MLL_11115	1.4051883330610628	-2.458321146946802	Mod0 (grey)
MLL_11116	-0.7055168555147512	2.5713560666220294	Mod0 (grey)
MLL_11118	2.111869471011395	3.7360858773601464	Mod0 (grey)
MLL_11119	0.1494612160514251	-0.7060671286314338	Mod0 (grey)
MLL_11121	10.067005148600321	-3.540543158738218	Mod0 (grey)
MLL_11123	-6.21510972371671	-1.0982926202263632	Mod0 (grey)
MLL_11124	-2.1478781758995655	5.39861693430899	Mod0 (grey)
MLL_11125	-5.487009560901188	-3.658401163635622	Mod0 (grey)
MLL_11126	0.8249177978446132	-3.8500503278008313	Mod0 (grey)
MLL_11128	-1.7244389717303554	2.5934545624460186	Mod0 (grey)
MLL_11129	-3.3675354029777544	-4.354353945020163	Mod0 (grey)
MLL_11132	2.7731980514818093	5.485326015274752	Mod0 (grey)
MLL_11133	-4.7301003939555875	2.5098442624352115	Mod0 (grey)
MLL_11134	-7.941778765413692	1.8916786968401813	Mod0 (grey)
MLL_11139	6.865401252849144	-6.106389595918588	Mod0 (grey)
MLL_11142	1.643793380418536	3.792234445136543	Mod0 (grey)
MLL_11143	2.4441880359988035	-5.07772995071392	Mod0 (grey)
MLL_11146	0.6408483275147702	3.8109566084099105	Mod0 (grey)
MLL_11148	-5.856458495851251	-4.669396140177129	Mod0 (grey)
MLL_11149	3.385463888396178	-2.2917607333661256	Mod0 (grey)
MLL_11151	3.3669329372377206	-4.830976753470643	Mod0 (grey)
MLL_11154	-0.9460555393241074	-2.4233261452742285	Mod0 (grey)
MLL_11157	-2.513220590448501	5.9347176351494895	Mod0 (grey)
MLL_11159	4.1600168659521835	5.3442893885554135	Mod0 (grey)
MLL_11160	-4.254504716033389	2.0633171462842856	Mod0 (grey)
MLL_11162	-0.7492056354947068	-7.795008670924209	Mod0 (grey)
MLL_11163	-1.817016066268394	-5.3728778095643515	Mod0 (grey)
MLL_11168	7.412152707707857	-7.214851528740473	Mod0 (grey)
MLL_11170	0.1306200475749893	3.0080252343408693	Mod0 (grey)
MLL_11171	0.5428149054958994	-2.188921333671781	Mod0 (grey)
MLL_11172	-1.3389369933440018	-6.454260381325904	Mod0 (grey)
MLL_11174	-1.2005202249187976	-4.114041036900336	Mod0 (grey)
MLL_11175	5.22587502318687	4.061777600048798	Mod0 (grey)
MLL_11178	2.3552332393109827	-1.5117422331094847	Mod0 (grey)
MLL_11182	-3.530532999790352	-3.5828850296618318	Mod0 (grey)
MLL_11183	-2.7526595812597066	1.5769568677270354	Mod0 (grey)
MLL_11184	-0.8330019195959307	-2.1254690680156867	Mod0 (grey)
MLL_11185	-1.5301251561186093	-0.693720143929485	Mod0 (grey)
MLL_11186	13.775778589103076	-0.06190945135672192	Mod0 (grey)
MLL_11190	5.134391377276145	5.146894690109572	Mod0 (grey)
MLL_11192	7.769261981190346	-3.0132995718863196	Mod0 (grey)
MLL_11193	1.4614669861717424	-3.871795487549846	Mod0 (grey)
MLL_11194	-6.720607981419599	-1.1529522974260036	Mod0 (grey)
MLL_11196	-6.27896278186373	1.0023376319417916	Mod0 (grey)
MLL_11198	7.057344711279301	-1.5984056667451354	Mod0 (grey)
MLL_11199	-4.654141810543428	2.1398842140614613	Mod0 (grey)
MLL_11200	-4.302523151438001	3.5111420847317696	Mod0 (grey)
MLL_11202	-4.1701069121338845	8.212322825876345	Mod0 (grey)
MLL_11204	-0.18609785308116863	-2.2962228420913386	Mod0 (grey)
MLL_11206	1.6638457360953285	6.46267584197709	Mod0 (grey)
MLL_11207	7.491215791029221	-1.7474325797340904	Mod0 (grey)
MLL_11209	-0.6829333977977927	-3.081821794024255	Mod0 (grey)
MLL_11210	-4.097823947609429	3.9236634485809803	Mod0 (grey)
MLL_11213	-1.51869094447575	-2.666257432275094	Mod0 (grey)
MLL_11214	4.205894805268926	-0.7195388491927106	Mod0 (grey)
MLL_11216	0.52897591666878	0.5521307394976994	Mod0 (grey)
MLL_11218	6.020409323315976	0.0916982902829121	Mod0 (grey)
MLL_11219	8.091143216874078	0.8243212310148329	Mod0 (grey)
MLL_11222	2.5583572036355244	-0.6037068984201457	Mod0 (grey)
MLL_11224	-4.731560740506621	-3.0552471343626064	Mod0 (grey)
MLL_11226	2.9370898110403783	-2.9913857631992	Mod0 (grey)
MLL_11227	-3.9467756755447803	-1.2224843622377919	Mod0 (grey)
MLL_11229	1.1833276849307544	0.7060001900214767	Mod0 (grey)
MLL_11232	5.207710332541924	2.721270407582417	Mod0 (grey)
MLL_11233	3.340429258169852	7.373382750392507	Mod0 (grey)
MLL_11234	-6.160173139343489	1.9639337462554949	Mod0 (grey)
MLL_11236	-0.17219037470046916	4.5685097690495535	Mod0 (grey)
MLL_11237	0.8441059284069491	2.6288949447455803	Mod0 (grey)
MLL_11238	-2.244723375375383	6.384046778798884	Mod0 (grey)
MLL_11239	2.058493839932965	-2.2398201757796645	Mod0 (grey)
MLL_11240	2.1356180698075695	-2.3002196458284283	Mod0 (grey)
MLL_11241	1.26470418253797	-4.60530043395706	Mod0 (grey)
MLL_11242	-7.42755652729775	-1.0491773032211713	Mod0 (grey)
MLL_11243	-5.138632347075363	-0.19414193865129542	Mod0 (grey)
MLL_11245	1.2475753582973033	0.9054081325779308	Mod0 (grey)
MLL_11246	13.388935888908971	0.2897911579711536	Mod0 (grey)
MLL_11249	-1.2433823984023835	-1.0652556417963337	Mod0 (grey)
MLL_11252	12.134745509412094	1.3583312535945897	Mod0 (grey)
MLL_11253	-1.9154174274115563	-1.1970294049221797	Mod0 (grey)
MLL_11259	-2.8844479722706096	-2.6674067684151392	Mod0 (grey)
MLL_11260	-5.507851357179017	0.4376768750978929	Mod0 (grey)
MLL_11264	-2.9397935979548597	4.055829668486288	Mod0 (grey)
MLL_11267	2.9876473278445572	7.516834075620181	Mod0 (grey)
MLL_11268	7.95719649104202	7.239955956421705	Mod0 (grey)
MLL_11270	-0.48231866323576983	-2.165623934840295	Mod0 (grey)
MLL_11271	0.9185252510424967	-1.6821587993533902	Mod0 (grey)
MLL_11272	1.3442436365905903	3.6095800420965105	Mod0 (grey)
MLL_11273	-2.619335487964349	5.576171014587221	Mod0 (grey)
MLL_11276	0.5055044287653311	-1.1664368306623458	Mod0 (grey)
MLL_11277	-3.179009861142772	-3.2891937688309896	Mod0 (grey)
MLL_11278	-2.1288010043328782	3.587163593083842	Mod0 (grey)
MLL_11279	0.6644945774943848	10.56359233771971	Mod0 (grey)
MLL_11280	4.380481565088515	-0.108777303693068	Mod0 (grey)
MLL_11282	-1.2844324013955808	-1.93312960839454	Mod0 (grey)
